2020-12-09,182.0
2020-12-10,179.7100067138672
2020-12-11,176.52000427246094
2020-12-14,169.10000610351562
2020-12-15,157.10000610351562
2020-12-16,161.17999267578125
2020-12-17,159.10000610351562
2020-12-18,154.2100067138672
2020-12-21,169.07000732421875
2020-12-22,161.0500030517578
2020-12-23,155.0
2020-12-24,157.3800048828125
2020-12-28,158.25
2020-12-29,146.1199951171875
2020-12-30,144.39999389648438
2020-12-31,140.1999969482422
2021-01-04,142.5
2021-01-05,138.0
2021-01-06,141.27000427246094
2021-01-07,140.0
2021-01-08,152.0
2021-01-11,153.19000244140625
2021-01-12,165.5
2021-01-13,192.41000366210938
2021-01-14,196.6199951171875
2021-01-15,207.0
2021-01-19,191.19000244140625
2021-01-20,200.0
2021-01-21,191.61000061035156
2021-01-22,190.1999969482422
2021-01-25,194.3300018310547
2021-01-26,198.0
2021-01-27,200.0
2021-01-28,198.99000549316406
2021-01-29,189.39999389648438
2021-02-01,194.58999633789062
2021-02-02,191.9499969482422
2021-02-03,184.66000366210938
2021-02-04,181.3800048828125
2021-02-05,189.57000732421875
2021-02-08,183.4499969482422
2021-02-09,177.7100067138672
2021-02-10,190.66000366210938
2021-02-11,208.5
2021-02-12,213.02999877929688
2021-02-16,205.60000610351562
2021-02-17,213.82000732421875
2021-02-18,194.3000030517578
2021-02-19,200.07000732421875
2021-02-22,198.0
2021-02-23,175.9600067138672
2021-02-24,174.36000061035156
2021-02-25,174.41000366210938
2021-02-26,155.5
2021-03-01,171.44000244140625
2021-03-02,168.0
2021-03-03,156.69000244140625
2021-03-04,147.32000732421875
2021-03-05,150.5
2021-03-08,146.41000366210938
2021-03-09,132.91000366210938
2021-03-10,143.13999938964844
2021-03-11,140.0
2021-03-12,139.47999572753906
2021-03-15,143.77999877929688
2021-03-16,140.7899932861328
2021-03-17,133.0
2021-03-18,131.45599365234375
2021-03-19,132.0800018310547
2021-03-22,136.0
2021-03-23,136.1999969482422
2021-03-24,131.77000427246094
2021-03-25,124.87999725341797
2021-03-26,131.6300048828125
2021-03-29,133.52999877929688
2021-03-30,128.2100067138672
2021-03-31,130.9600067138672
2021-04-01,136.8800048828125
2021-04-05,133.88999938964844
2021-04-06,131.75
2021-04-07,131.19000244140625
2021-04-08,129.02000427246094
2021-04-09,126.30000305175781
2021-04-12,138.0
2021-04-13,146.83999633789062
2021-04-14,150.00999450683594
2021-04-15,145.0
2021-04-16,151.2899932861328
2021-04-19,142.4600067138672
2021-04-20,146.72000122070312
2021-04-21,143.74000549316406
2021-04-22,144.89999389648438
2021-04-23,145.05999755859375
2021-04-26,153.1999969482422
2021-04-27,156.5500030517578
2021-04-28,160.00999450683594
2021-04-29,164.0399932861328
2021-04-30,148.30999755859375
2021-05-03,142.85000610351562
2021-05-04,137.30999755859375
2021-05-05,134.0
2021-05-06,127.87999725341797
2021-05-07,126.48999786376953
2021-05-10,124.9000015258789
2021-05-11,115.45999908447266
2021-05-12,119.5199966430664
2021-05-13,114.05000305175781
2021-05-14,125.0
2021-05-17,138.91000366210938
2021-05-18,135.5
2021-05-19,130.36000061035156
2021-05-20,134.80999755859375
2021-05-21,136.77000427246094
2021-05-24,139.0
2021-05-25,140.11000061035156
2021-05-26,138.72999572753906
2021-05-27,142.3000030517578
2021-05-28,152.0
2021-06-01,152.1999969482422
2021-06-02,148.1300048828125
2021-06-03,149.88999938964844
2021-06-04,140.63999938964844
2021-06-07,146.47000122070312
2021-06-08,139.82000732421875
2021-06-09,137.58999633789062
2021-06-10,136.50999450683594
2021-06-11,145.64999389648438
2021-06-14,155.4600067138672
2021-06-15,158.0
2021-06-16,158.0
2021-06-17,159.2100067138672
2021-06-18,165.99000549316406
2021-06-21,167.5
2021-06-22,174.3300018310547
2021-06-23,176.63999938964844
2021-06-24,176.11000061035156
2021-06-25,176.02999877929688
2021-06-28,181.0800018310547
2021-06-29,177.25
2021-06-30,180.5
2021-07-01,179.36000061035156
2021-07-02,181.0500030517578
2021-07-06,183.16000366210938
2021-07-07,184.6300048828125
2021-07-08,174.97999572753906
2021-07-09,180.66000366210938
2021-07-12,182.2100067138672
2021-07-13,177.0
2021-07-14,177.38999938964844
2021-07-15,167.8300018310547
2021-07-16,168.50999450683594
2021-07-19,163.32000732421875
2021-07-20,176.24000549316406
2021-07-21,177.69000244140625
2021-07-22,179.17999267578125
2021-07-23,181.9499969482422
2021-07-26,186.2100067138672
2021-07-27,182.8000030517578
2021-07-28,182.1199951171875
2021-07-29,184.0
2021-07-30,175.80999755859375
2021-08-02,175.35000610351562
2021-08-03,177.00999450683594
2021-08-04,175.44000244140625
2021-08-05,178.3699951171875
2021-08-06,182.4199981689453
2021-08-09,182.8000030517578
2021-08-10,186.89999389648438
2021-08-11,190.50999450683594
2021-08-12,192.19000244140625
2021-08-13,181.0
2021-08-16,189.5399932861328
