2016-12-06,9.802000045776367
2016-12-07,9.800000190734863
2016-12-08,9.800000190734863
2016-12-09,9.800000190734863
2016-12-12,9.800000190734863
2016-12-13,9.800000190734863
2016-12-14,9.800000190734863
2016-12-15,9.800000190734863
2016-12-16,9.800000190734863
2016-12-19,10.0
2016-12-20,10.0
2016-12-21,10.0
2016-12-22,10.0
2016-12-23,10.0
2016-12-27,10.039999961853027
2016-12-28,10.039999961853027
2016-12-29,10.039999961853027
2016-12-30,10.029999732971191
2017-01-03,10.039999961853027
2017-01-04,10.039999961853027
2017-01-05,10.039999961853027
2017-01-06,10.039999961853027
2017-01-09,10.039999961853027
2017-01-10,10.039999961853027
2017-01-11,10.039999961853027
2017-01-12,10.25
2017-01-13,10.25
2017-01-17,10.25
2017-01-18,10.25
2017-01-19,10.25
2017-01-20,10.25
2017-01-23,10.25
2017-01-24,10.25
2017-01-25,10.25
2017-01-26,9.930000305175781
2017-01-27,9.949999809265137
2017-01-30,9.949999809265137
2017-01-31,9.949999809265137
2017-02-01,9.949999809265137
2017-02-02,9.949999809265137
2017-02-03,9.949999809265137
2017-02-06,9.949999809265137
2017-02-07,9.949999809265137
2017-02-08,9.949999809265137
2017-02-09,9.949999809265137
2017-02-10,9.949999809265137
2017-02-13,9.949999809265137
2017-02-14,9.949999809265137
2017-02-15,9.949999809265137
2017-02-16,9.960000038146973
2017-02-17,9.949999809265137
2017-02-21,9.949999809265137
2017-02-22,9.949999809265137
2017-02-23,9.949999809265137
2017-02-24,9.949999809265137
2017-02-27,9.949999809265137
2017-02-28,9.949999809265137
2017-03-01,9.979999542236328
2017-03-02,10.0600004196167
2017-03-03,10.010000228881836
2017-03-06,10.0
2017-03-07,10.0
2017-03-08,10.0
2017-03-09,10.0
2017-03-10,10.0
2017-03-13,10.0
2017-03-14,9.960000038146973
2017-03-15,10.024999618530273
2017-03-16,10.005000114440918
2017-03-17,10.069999694824219
2017-03-20,10.069999694824219
2017-03-21,10.069999694824219
2017-03-22,10.069999694824219
2017-03-23,10.069999694824219
2017-03-24,10.069999694824219
2017-03-27,10.069999694824219
2017-03-28,10.079999923706055
2017-03-29,10.069999694824219
2017-03-30,10.069999694824219
2017-03-31,10.069999694824219
2017-04-03,10.069999694824219
2017-04-04,10.069999694824219
2017-04-05,10.069999694824219
2017-04-06,10.199999809265137
2017-04-07,10.20300006866455
2017-04-10,10.062000274658203
2017-04-11,10.119999885559082
2017-04-12,10.119999885559082
2017-04-13,10.119999885559082
2017-04-17,10.119999885559082
2017-04-18,10.119999885559082
2017-04-19,10.119999885559082
2017-04-20,10.119999885559082
2017-04-21,10.119999885559082
2017-04-24,10.119999885559082
2017-04-25,10.010000228881836
2017-04-26,10.010000228881836
2017-04-27,10.010000228881836
2017-04-28,10.010000228881836
2017-05-01,10.010000228881836
2017-05-02,10.010000228881836
2017-05-03,10.010000228881836
2017-05-04,10.010000228881836
2017-05-05,10.010000228881836
2017-05-08,10.010000228881836
2017-05-09,10.010000228881836
2017-05-10,10.010000228881836
2017-05-11,10.010000228881836
2017-05-12,10.010000228881836
2017-05-15,10.010000228881836
2017-05-16,10.010000228881836
2017-05-17,10.010000228881836
2017-05-18,10.010000228881836
2017-05-19,10.010000228881836
2017-05-22,10.010000228881836
2017-05-23,10.010000228881836
2017-05-24,10.010000228881836
2017-05-25,10.010000228881836
2017-05-26,10.010000228881836
2017-05-30,10.020000457763672
2017-05-31,10.020000457763672
2017-06-01,10.020000457763672
2017-06-02,10.0600004196167
2017-06-05,10.020000457763672
2017-06-06,10.029999732971191
2017-06-07,10.029999732971191
2017-06-08,10.029999732971191
2017-06-09,10.109999656677246
2017-06-12,10.109999656677246
2017-06-13,10.109999656677246
2017-06-14,10.109999656677246
2017-06-15,10.109999656677246
2017-06-16,10.09000015258789
2017-06-19,10.020000457763672
2017-06-20,10.020000457763672
2017-06-21,10.020000457763672
2017-06-22,10.09000015258789
2017-06-23,10.09000015258789
2017-06-26,10.029999732971191
2017-06-27,10.020000457763672
2017-06-28,10.020000457763672
2017-06-29,10.09000015258789
2017-06-30,10.069999694824219
2017-07-03,10.010000228881836
2017-07-05,10.010000228881836
2017-07-06,10.010000228881836
2017-07-07,10.010000228881836
2017-07-10,10.010000228881836
2017-07-11,10.010000228881836
2017-07-12,10.010000228881836
2017-07-13,10.010000228881836
2017-07-14,10.010000228881836
2017-07-17,10.09000015258789
2017-07-18,10.09000015258789
2017-07-19,10.069999694824219
2017-07-20,10.069999694824219
2017-07-21,10.069999694824219
2017-07-24,10.069999694824219
2017-07-25,10.069999694824219
2017-07-26,10.069999694824219
2017-07-27,10.069999694824219
2017-07-28,10.069999694824219
2017-07-31,10.039999961853027
2017-08-01,10.050000190734863
2017-08-02,10.0600004196167
2017-08-03,10.050000190734863
2017-08-04,10.0600004196167
2017-08-07,10.0600004196167
2017-08-08,10.0600004196167
2017-08-09,10.0600004196167
2017-08-10,10.0600004196167
2017-08-11,10.079999923706055
2017-08-14,10.050000190734863
2017-08-15,10.050000190734863
2017-08-16,10.050000190734863
2017-08-17,10.050000190734863
2017-08-18,10.079999923706055
2017-08-21,10.079999923706055
2017-08-22,10.079999923706055
2017-08-23,10.079999923706055
2017-08-24,10.079999923706055
2017-08-25,10.119999885559082
2017-08-28,10.119999885559082
2017-08-29,10.119999885559082
2017-08-30,10.119999885559082
2017-08-31,10.119999885559082
2017-09-01,10.119999885559082
2017-09-05,10.119999885559082
2017-09-06,10.119999885559082
2017-09-07,10.119999885559082
2017-09-08,10.119999885559082
2017-09-11,10.119999885559082
2017-09-12,10.119999885559082
2017-09-13,10.119999885559082
2017-09-14,10.119999885559082
2017-09-15,10.119999885559082
2017-09-18,10.149999618530273
2017-09-19,10.149999618530273
2017-09-20,10.149999618530273
2017-09-21,10.199999809265137
2017-09-22,10.199999809265137
2017-09-25,10.199999809265137
2017-09-26,10.199999809265137
2017-09-27,10.199999809265137
2017-09-28,10.199999809265137
2017-09-29,10.199999809265137
2017-10-02,10.199999809265137
2017-10-03,10.199999809265137
2017-10-04,10.199999809265137
2017-10-05,10.199999809265137
2017-10-06,10.199999809265137
2017-10-09,10.199999809265137
2017-10-10,10.199999809265137
2017-10-11,10.199999809265137
2017-10-12,10.199999809265137
2017-10-13,10.199999809265137
2017-10-16,10.199999809265137
2017-10-17,10.1850004196167
2017-10-18,10.180000305175781
2017-10-19,10.180000305175781
2017-10-20,10.180000305175781
2017-10-23,10.199999809265137
2017-10-24,10.199999809265137
2017-10-25,10.180000305175781
2017-10-26,10.180000305175781
2017-10-27,10.142999649047852
2017-10-30,10.140000343322754
2017-10-31,10.140000343322754
2017-11-01,10.140000343322754
2017-11-02,10.140000343322754
