2019-06-12,63.5
2019-06-13,63.86000061035156
2019-06-14,69.77999877929688
2019-06-17,64.75
2019-06-18,73.0
2019-06-19,78.75
2019-06-20,78.0
2019-06-21,72.45999908447266
2019-06-24,71.05000305175781
2019-06-25,67.0999984741211
2019-06-26,63.29999923706055
2019-06-27,63.38999938964844
2019-06-28,64.36000061035156
2019-07-01,69.0999984741211
2019-07-02,63.29999923706055
2019-07-03,64.68000030517578
2019-07-05,67.1500015258789
2019-07-08,68.26000213623047
2019-07-09,67.41999816894531
2019-07-10,70.0
2019-07-11,74.5
2019-07-12,71.5999984741211
2019-07-15,74.0
2019-07-16,71.93000030517578
2019-07-17,70.0
2019-07-18,71.0
2019-07-19,85.16000366210938
2019-07-22,82.2699966430664
2019-07-23,88.31999969482422
2019-07-24,86.79000091552734
2019-07-25,87.5
2019-07-26,93.04000091552734
2019-07-29,93.69000244140625
2019-07-30,86.0
2019-07-31,93.94999694824219
2019-08-01,90.06999969482422
2019-08-02,91.54000091552734
2019-08-05,83.33999633789062
2019-08-06,87.19999694824219
2019-08-07,83.69000244140625
2019-08-08,85.48999786376953
2019-08-09,90.25
2019-08-12,94.25
2019-08-13,92.83999633789062
2019-08-14,96.5199966430664
2019-08-15,95.98999786376953
2019-08-16,95.0
2019-08-19,98.80000305175781
2019-08-20,99.2300033569336
2019-08-21,100.58999633789062
2019-08-22,96.29000091552734
2019-08-23,91.37000274658203
2019-08-26,90.23999786376953
2019-08-27,89.27999877929688
2019-08-28,84.0
2019-08-29,88.30000305175781
2019-08-30,84.0199966430664
2019-09-03,80.8499984741211
2019-09-04,85.0
2019-09-05,86.25
2019-09-06,79.69999694824219
2019-09-09,76.1050033569336
2019-09-10,65.69999694824219
2019-09-11,69.20999908447266
2019-09-12,69.68000030517578
2019-09-13,69.86000061035156
2019-09-16,63.709999084472656
2019-09-17,68.63999938964844
2019-09-18,70.12000274658203
2019-09-19,71.5
2019-09-20,68.94999694824219
2019-09-23,67.12000274658203
2019-09-24,67.0199966430664
2019-09-25,62.0
2019-09-26,62.04999923706055
2019-09-27,58.27000045776367
2019-09-30,53.5
2019-10-01,58.29999923706055
2019-10-02,56.80500030517578
2019-10-03,59.47999954223633
2019-10-04,62.0
2019-10-07,63.36000061035156
2019-10-08,67.4000015258789
2019-10-09,66.3499984741211
2019-10-10,62.599998474121094
2019-10-11,58.77000045776367
2019-10-14,55.79999923706055
2019-10-15,55.0099983215332
2019-10-16,53.56999969482422
2019-10-17,51.7599983215332
2019-10-18,50.0
2019-10-21,46.93000030517578
2019-10-22,47.25
2019-10-23,47.0
2019-10-24,48.599998474121094
2019-10-25,50.880001068115234
2019-10-28,50.2599983215332
2019-10-29,47.43000030517578
2019-10-30,47.720001220703125
2019-10-31,51.20000076293945
2019-11-01,49.939998626708984
2019-11-04,49.150001525878906
2019-11-05,50.18000030517578
2019-11-06,48.560001373291016
