1991-04-02,6.875
1991-04-03,7.28125
1991-04-04,7.28125
1991-04-05,7.125
1991-04-08,7.0625
1991-04-09,7.125
1991-04-10,7.125
1991-04-11,7.75
1991-04-12,8.125
1991-04-15,8.21875
1991-04-16,7.96875
1991-04-17,8.125
1991-04-18,7.96875
1991-04-19,7.9375
1991-04-22,8.0
1991-04-23,7.71875
1991-04-24,7.84375
1991-04-25,8.09375
1991-04-26,8.03125
1991-04-29,8.1875
1991-04-30,8.125
1991-05-01,8.125
1991-05-02,8.125
1991-05-03,8.25
1991-05-06,8.1875
1991-05-07,8.21875
1991-05-08,8.0
1991-05-09,8.0
1991-05-10,8.03125
1991-05-13,7.90625
1991-05-14,7.8125
1991-05-15,7.5
1991-05-16,7.6875
1991-05-17,7.6875
1991-05-20,7.5
1991-05-21,7.90625
1991-05-22,7.78125
1991-05-23,7.875
1991-05-24,7.75
1991-05-28,7.75
1991-05-29,7.78125
1991-05-30,7.625
1991-05-31,7.5625
1991-06-03,7.5
1991-06-04,7.71875
1991-06-05,7.84375
1991-06-06,8.125
1991-06-07,8.15625
1991-06-10,8.1875
1991-06-11,8.40625
1991-06-12,8.40625
1991-06-13,8.03125
1991-06-14,8.0
1991-06-17,8.375
1991-06-18,8.625
1991-06-19,8.65625
1991-06-20,8.3125
1991-06-21,8.3125
1991-06-24,8.25
1991-06-25,8.0625
1991-06-26,7.90625
1991-06-27,8.03125
1991-06-28,8.375
1991-07-01,8.65625
1991-07-02,9.03125
1991-07-03,9.21875
1991-07-05,9.3125
1991-07-08,9.625
1991-07-09,9.96875
1991-07-10,10.1875
1991-07-11,10.0625
1991-07-12,9.625
1991-07-15,9.625
1991-07-16,10.0
1991-07-17,9.90625
1991-07-18,10.0
1991-07-19,10.0625
1991-07-22,10.0
1991-07-23,9.75
1991-07-24,9.6875
1991-07-25,9.5625
1991-07-26,9.8125
1991-07-29,9.71875
1991-07-30,9.71875
1991-07-31,9.6875
1991-08-01,9.4375
1991-08-02,9.4375
1991-08-05,9.5625
1991-08-06,9.5
1991-08-07,9.5625
1991-08-08,9.75
1991-08-09,9.8125
1991-08-12,9.8125
1991-08-13,9.8125
1991-08-14,9.90625
1991-08-15,9.78125
1991-08-16,9.625
1991-08-19,9.34375
1991-08-20,9.1875
1991-08-21,9.375
1991-08-22,9.5625
1991-08-23,9.9375
1991-08-26,9.90625
1991-08-27,9.96875
1991-08-28,9.9375
1991-08-29,10.25
1991-08-30,10.0625
1991-09-03,10.25
1991-09-04,10.125
1991-09-05,9.90625
1991-09-06,9.8125
1991-09-09,9.6875
1991-09-10,9.75
1991-09-11,9.71875
1991-09-12,10.0
1991-09-13,10.03125
1991-09-16,10.0625
1991-09-17,10.25
1991-09-18,10.46875
1991-09-19,10.5
1991-09-20,11.09375
1991-09-23,11.75
1991-09-24,11.84375
1991-09-25,11.625
1991-09-26,11.25
1991-09-27,11.1875
1991-09-30,11.125
1991-10-01,11.0625
1991-10-02,11.625
1991-10-03,11.5625
1991-10-04,11.21875
1991-10-07,11.15625
1991-10-08,10.9375
1991-10-09,11.125
1991-10-10,11.0
1991-10-11,10.8125
1991-10-14,10.96875
1991-10-15,11.28125
1991-10-16,11.28125
1991-10-17,11.4375
1991-10-18,11.40625
1991-10-21,11.53125
1991-10-22,11.5
1991-10-23,11.53125
1991-10-24,11.53125
1991-10-25,11.3125
1991-10-28,11.0625
1991-10-29,11.21875
1991-10-30,11.75
1991-10-31,11.875
1991-11-01,11.875
1991-11-04,11.875
1991-11-05,12.0
1991-11-06,11.875
1991-11-07,12.0
1991-11-08,12.5625
1991-11-11,12.65625
1991-11-12,13.375
1991-11-13,13.65625
1991-11-14,13.84375
1991-11-15,13.46875
1991-11-18,13.03125
1991-11-19,12.75
1991-11-20,12.5
1991-11-21,12.5
1991-11-22,12.8125
1991-11-25,13.21875
1991-11-26,13.0625
1991-11-27,12.96875
1991-11-29,12.8125
1991-12-02,12.8125
1991-12-03,13.09375
1991-12-04,13.0
1991-12-05,13.125
1991-12-06,13.8125
1991-12-09,14.3125
1991-12-10,14.09375
1991-12-11,13.96875
1991-12-12,13.6875
1991-12-13,13.75
1991-12-16,14.0625
1991-12-17,14.6875
1991-12-18,14.75
1991-12-19,14.71875
1991-12-20,14.59375
1991-12-23,14.625
1991-12-24,15.0
1991-12-26,15.0
1991-12-27,15.375
1991-12-30,15.9375
1991-12-31,16.25
1992-01-02,16.71875
1992-01-03,16.8125
1992-01-06,16.75
1992-01-07,17.0625
1992-01-08,17.15625
1992-01-09,17.0625
1992-01-10,17.0625
1992-01-13,17.5625
1992-01-14,17.5
1992-01-15,17.46875
1992-01-16,17.5
1992-01-17,16.75
1992-01-20,16.4375
1992-01-21,15.90625
1992-01-22,15.40625
1992-01-23,15.625
1992-01-24,15.875
1992-01-27,16.15625
1992-01-28,16.0625
1992-01-29,16.4375
1992-01-30,16.25
1992-01-31,16.6875
1992-02-03,17.5
1992-02-04,17.875
1992-02-05,18.875
1992-02-06,20.0625
1992-02-07,20.375
1992-02-10,19.9375
1992-02-11,19.9375
1992-02-12,19.75
1992-02-13,19.0
1992-02-14,18.8125
1992-02-18,18.75
1992-02-19,17.75
1992-02-20,18.4375
1992-02-21,18.875
1992-02-24,19.4375
1992-02-25,19.1875
1992-02-26,18.6875
1992-02-27,19.0625
1992-02-28,19.9375
1992-03-02,19.3125
1992-03-03,19.5
1992-03-04,19.3125
1992-03-05,18.625
1992-03-06,18.25
1992-03-09,18.125
1992-03-10,18.0625
1992-03-11,17.5
1992-03-12,17.5
1992-03-13,18.0
1992-03-16,18.125
1992-03-17,18.0
1992-03-18,18.5
1992-03-19,19.0
1992-03-20,18.875
1992-03-23,19.125
1992-03-24,19.375
1992-03-25,19.25
1992-03-26,19.5625
1992-03-27,19.4375
1992-03-30,19.75
1992-03-31,19.25
1992-04-01,18.3125
1992-04-02,17.5625
1992-04-03,17.5625
1992-04-06,17.3125
1992-04-07,18.125
1992-04-08,17.8125
1992-04-09,17.5
1992-04-10,18.25
1992-04-13,17.9375
1992-04-14,18.4375
1992-04-15,19.0625
1992-04-16,18.75
1992-04-20,18.5
1992-04-21,17.5625
1992-04-22,17.5625
1992-04-23,17.8125
1992-04-24,17.5625
1992-04-27,17.3125
1992-04-28,17.125
1992-04-29,16.375
1992-04-30,17.1875
1992-05-01,18.0
1992-05-04,18.0625
1992-05-05,18.75
1992-05-06,18.25
1992-05-07,18.5625
1992-05-08,18.5625
1992-05-11,18.1875
1992-05-12,18.125
1992-05-13,17.5
1992-05-14,17.4375
1992-05-15,16.9375
1992-05-18,17.6875
1992-05-19,17.625
1992-05-20,17.6875
1992-05-21,17.375
1992-05-22,17.25
1992-05-26,17.625
1992-05-27,17.5625
1992-05-28,17.125
1992-05-29,16.875
1992-06-01,17.3125
1992-06-02,17.5625
1992-06-03,17.4375
1992-06-04,17.25
1992-06-05,16.5
1992-06-08,16.25
1992-06-09,15.5
1992-06-10,14.4375
1992-06-11,14.375
1992-06-12,14.8125
1992-06-15,14.9375
1992-06-16,15.25
1992-06-17,14.9375
1992-06-18,14.25
1992-06-19,13.5
1992-06-22,13.3125
1992-06-23,13.0625
1992-06-24,13.5625
